SubjectID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
clowns.perdais,-1.0365811319329008,0.69635034265707,0.5910746016815314,-0.9682162919146974,0.1349067340243238,0.505731375383069,0.5197788863875423,-0.7624048474044081,0.016787501810064057,0.013240545652528806
cokefier.survolait,0.16552893801029575,2.3042518008371102,0.05025088784613202,-0.13356286843978787,0.16543479071085715,-0.34061913457592713,-0.15082509698477153,-0.6415949744388487,0.0639703897953414,-0.0013575502896414115
comblerez.ecrier,0.5744509978655596,0.6239482103316643,-0.38019766100058794,-0.009568902023864335,0.13482314539784238,-0.14471240605946323,0.06750117700715216,-0.30928194562295386,-0.2756673518173158,-0.005218728166769471
confortee.mesquin,1.5905438379391086,-0.205971792575358,-0.39770763747652554,0.578929108107625,-0.32545528146705954,0.5746395880933911,0.07086946511174698,0.30182062287415345,0.11355690236754384,0.01018410880124697
consultes.pacifiee,0.8292558129186594,2.0616792956674472,0.15404269872973764,0.2028415894254622,0.3857691147314049,-0.29214631351766085,-0.6974825702030869,0.04510355946905728,0.04102537507556861,-0.013220512645883585
cougouars.balayes,-1.8069906844565473,1.6318612475692267,0.6998497233351926,-0.1891142548063708,-0.13660274081100846,-0.2260983641269286,0.303400511802036,-0.6833908155598581,0.0042169006379239185,0.00019166893213812483
coulerons.elisiez,1.3259943156036935,0.3050892657448359,-0.18289262315009389,-0.9627155176260606,0.005860454393341076,0.6877235950958617,0.3188816445484622,-0.26058157029563095,0.12087227391614233,0.002124259407770412
coutions.informant,-1.5354682074593669,1.7331205424527574,0.8027947023541924,-0.27305761541550505,0.0009087553687533703,-0.1374067256998678,0.27895223784836815,0.03169318102832251,-0.008477719881349703,-0.0023591951744164393
crantes.mutes,-1.18436412358323,-0.14258465503421616,-0.024035443262768443,-0.16455855119291915,-0.0059089471317817265,0.31757082804634695,-0.2341463920163264,-0.054166719619378356,-0.0457108407780573,0.019952282598205747
criquet.selles,-3.1884971951125785,-2.350694800817598,-0.04206824726009031,-0.36902078519743226,1.0296698678275882,0.25942522872252066,0.6480875084205118,-0.023757091667676748,0.19927623005960132,-0.0034085107474550787
cuivre.livrent,-0.5713472605817573,1.9467914681914475,0.3876307946690421,0.10941736990812355,0.14320579479334827,-0.4011251321014456,0.08063536069562889,-0.028548225545147677,-0.07636039250329044,0.025586575894640418
debacler.decores,-2.4754099023012244,-0.4430066818728285,0.926448326209084,0.44007486411927144,-0.8261820874743271,0.4222186989323262,-0.045992319973658664,-0.5243260312024731,-0.04798904252749354,-0.012995739573523455
deblayant.vouerez,-4.686163977789206,-2.305066755230014,-1.1610540891709347,1.254899161106171,-0.831549353464209,-0.34815942075300027,-0.009950724798006605,-0.3455485863984333,0.06682870137718204,-0.016947413912524318
debusquer.decimale,0.5204414117624004,2.5103102017251553,0.38006171377782866,0.1407507444811468,0.17286954546712743,-0.2693467106426148,0.3467452806982447,-0.05669735392940869,0.034007323627395364,0.014021017613791107
decalques.avenu,1.746682124967205,0.5931265884206397,-0.7991064647148398,0.3279375735545926,0.005269716778794235,0.17061622111494812,-0.4280315887468819,0.5190798152290409,-0.05337003621096615,0.005190698665437208
decaves.plevre,1.0999116526348343,-0.9216907084439104,-2.0135051049741213,0.12746791911854446,0.40154151962636403,0.5617418563693338,-0.15182364423194078,0.05978661803790893,0.1384213058359475,-0.015929254581157803
decernera.promesse,0.9531090145742345,0.9561565090937502,-0.514487040348263,-0.17736660977186208,0.3343625531149417,0.2174981376294651,0.29609008904046497,0.16603815295738383,-0.033766121325432844,0.013556126034466959
decevriez.poussees,2.085610333600688,-0.49925732677039775,-1.6039931711525681,-0.2201359050678791,-0.04227549481659146,0.7466271380990793,0.2394101625327072,0.3074333074126463,0.19001211876514343,-0.025639497276617282
decousu.bavant,-0.17510055122128962,0.029657007091746176,0.06259981688520919,0.062284867347895755,-0.1235689719163796,0.34579523182937916,-0.15927749175763814,-0.01744344458361705,0.024806059377878147,0.0073035299742070835
deferlez.rallongea,-2.5010870295110252,-1.3809045901553594,-0.5837656666447757,-0.15357965387121209,0.30256957164852016,-0.3221415342445931,0.1978639375518021,0.15849164229259596,0.006286406377608614,8.729585843527574e-05
dejeune.ficela,5.600927942925656,-3.079596808437773,2.3384938232141423,3.433275947951682,-0.7533074851212266,0.18253593750577612,-0.3736463097070826,-0.26689407169413637,0.10621783211085041,0.005790590863217548
delogez.planeras,-1.6584168204884393,-2.492484874007557,-1.0916179047783068,-0.49652696806679153,0.4055326215968619,-0.5940831538422051,0.18695076510905223,0.08292808473358966,-0.2310107607480488,0.03809441681888901
deprime.grondions,3.4128413220438776,0.7939946847019481,-1.205583331923165,0.004447292839800611,-0.05425895157344389,0.27125729985031155,-0.01600809736770762,-0.137552696948952,-0.05266320244289078,0.003548429914969258
deraser.mouilliez,0.37946524961149686,1.5236604072682862,-0.34244020543409964,0.19626078452923676,0.13041982969130736,0.013464468959470384,-0.3461910780926102,0.4807351688343652,0.11375219083878457,0.0028029156975028302
devierons.inviterai,-1.3799615257919864,-0.7849457206531203,-0.4773247425515507,0.6549194316956272,0.7290593911049117,-0.449795469621524,0.28725272442290123,-0.07717511018820646,-0.08070538870007246,-0.0009237060114314258
dialectes.avancions,2.506987565668814,1.7075652579349496,-0.22743071936137457,0.1672352810497263,0.2061030743445538,-0.027455115080971305,0.3178699494410314,-0.20769600030155924,0.07737971271193944,0.0139290859451181
dilueront.compare,2.115353561811174,0.5550669932096473,-0.28710307131369706,-1.0373638370988716,-0.16724445562729973,-0.2175836702470005,-0.4204248538047916,-0.14813274485650477,0.07296992389247905,-0.02345203970955357
dopants.recrie,-3.6268411162391794,-1.8407311203758994,-0.8462978415035669,0.35196804971537166,0.07554133970235472,-0.47307462861587773,0.062162486454912104,0.24093853611555188,0.07218560780380905,0.01252294669961907
dotait.huilerons,4.277394791150888,0.6736523545358833,-1.8559570541577586,0.5820350340624942,-0.2879023820694056,0.6016651401291141,0.18952249562085208,0.316369268765002,0.16545630689489374,-0.005551022345370514
echarpe.invoquez,-0.36808138659903694,1.1469440324485962,0.22564470839689502,0.00987328905790108,0.18647222734948482,-0.23065724418213568,0.06606657418709022,-0.35574715928483464,-0.040148652721996275,0.002083499273192816
eclairez.efforces,2.093419069848428,0.22580259190003973,0.06848899262986007,0.00283474951454477,-0.5523547092222943,0.03303482314722301,-0.10857154104137867,-0.3930295172736914,-0.37196790026864673,-0.015319529806628068
